star2_name,star2_id
Tom Cruise,373
Nozomu Sasaki,374
Mandy Patinkin,375
Solveig Dommartin,376
Raphael Fejtö,377
Keiko Yokozawa,378
John Gielgud,379
Tsutomu Yamazaki,380
Diane Keaton,381
Robert Shaw,382
John Cazale,383
Madeline Kahn,384
Dustin Hoffman,385
Max von Sydow,386
Norma Crane,387
Stefania Sandrelli,388
John Cassavetes,389
Roddy McDowall,390
Anne Bancroft,391
Richard Burton,392
Christopher Plummer,393
Julie Christie,394
Gian Maria Volontè,395
Anouk Aimée,396
Sady Rebbot,397
Jackie Gleason,398
Anita Ekberg,399
Dean Martin,400
Lee Remick,401
Orson Welles,402
Paul Newman,403
Coleen Gray,404
Shelley Winters,405
Giulietta Masina,406
Véra Clouzot,407
Don Taylor,408
Audrey Hepburn,409
Gloria Grahame,410
John Dall,411
Jane Greer,412
Trevor Howard,413
Dana Andrews,414
Priscilla Lane,415
Mary Astor,416
Jane Darwell,417
Mervyn LeRoy,418
Nora Gregor,419
Myrna Loy,420
Louis Wolheim,421
Vladimir Barskiy,422
Sanjana Sanghi,423
Sakura Andô,424
Scarlett Johansson,425
Timothée Chalamet,426
Dave Johns,427
Koyu Rankin,428
Julian Dennison,429
Aidan Gillen,430
Tom Hiddleston,431
Rene Russo,432
Thomasin McKenzie,433
Jeremy Renner,434
John Boyega,435
Bérénice Bejo,436
Emily Blunt,437
Emmanuelle Riva,438
Niels Arestrup,439
Kevin Spacey,440
Lina Leandersson,441
David James,442
Marisa Tomei,443
Kareena Kapoor,444
Patricia Arquette,445
Laura Vasiliu,446
Zachary Quinto,447
Tony Todd,448
Kazunari Ninomiya,449
Catinca Untaru,450
Irrfan Khan,451
Meryl Streep,452
Marc-André Grondin,453
François Berléand,454
Gwyneth Paltrow,455
Nick Frost,456
Sibel Kekilli,457
Tim Robbins,458
Tony Chiu-Wai Leung,459
Javier Cámara,460
Rene Bitorajac,461
Hiroyuki Okiura,462
Gastón Pauls,463
Clive Owen,464
Patrick Fugit,465
Laura Harring,466
Julianne Moore,467
Issey Takahashi,468
Temuera Morrison,469
Zbigniew Zamachowski,470
Emi Shinohara,471
Sean Penn,472
Winona Ryder,473
Brenda Fricker,474
Woody Allen,475
Dianne Wiest,476
Kim Greist,477
Michael McKean,478
Melinda Dillon,479
Dan Aykroyd,480
Jessica Lange,481
Ken Foree,482
Horacio Salinas,483
Bruno Zanin,484
Delphine Seyrig,485
Ruy Guerra,486
Bud Cort,487
Ernest Borgnine,488
Judith O'Dea,489
Katharine Hepburn,490
Rod Steiger,491
Laurence Harvey,492
Laurence Olivier,493
Monica Vitti,494
Eiji Okada,495
Yul Brynner,496
Jeffrey Hunter,497
Raymond Massey,498
Robert Walker,499
Wallace Ford,500
Maureen O'Hara,501
Lauren Bacall,502
Jane Wyman,503
Rosalind Russell,504
Errol Flynn,505
Groucho Marx,506
Fay Wray,507
Leila Hyams,508
Alexander Granach,509
Charlie Hunnam,510
Vicky Kaushal,511
Olivia Cooke,512
Taraneh Alidoosti,513
Barry Keoghan,514
Anna Foglietta,515
Octavia Spencer,516
Hugh Grant,517
Alia Bhatt,518
Art Parkinson,519
Kiara Advani,520
Michelle Williams,521
Louis Hofmann,522
Diego Luna,523
Kurt Russell,524
Douglas Booth,525
Imelda Staunton,526
Tahar Rahim,527
Carlo Verdone,528
Yami Gautam,529
Ryan Potter,530
Rachel McAdams,531
Adil Hussain,532
Hidetoshi Nishijima,533
Jim Sturgess,534
Kara Hayward,535
Cate Blanchett,536
Steve Carell,537
Yoshino Kimura,538
Choi Min-sik,539
Rooney Mara,540
Barkhad Abdi,541
Sae-ron Kim,542
Corey Hawkins,543
Martin Freeman,544
Ernst Jacobi,545
Noomi Rapace,546
Alex Sharp,547
Maggie Grace,548
David Thewlis,549
Markéta Irglová,550
Nurgül Yesilçay,551
James McAvoy,552
Carey Mulligan,553
Zoe Saldana,554
Sarah Polley,555
Raoul Max Trujillo,556
Preity Zinta,557
Mads Mikkelsen,558
Matthew Macfadyen,559
Diane Ladd,560
Tôru Emori,561
Gina Torres,562
Reese Witherspoon,563
Henrik Lundström,564
Rodrigo De la Serna,565
Artyom Bogucharskiy,566
Jean-Claude Donda,567
Lee Byung-Hun,568
Guy Pearce,569
Trevor Jack Brooks,570
Will Patton,571
Michelle Yeoh,572
Marisa Paredes,573
Helen Hunt,574
Sean Patrick Flanery,575
Chris Cooper,576
Mike Myers,577
Kayoko Kishimoto,578
Deborah Kara Unger,579
Stellan Skarsgård,580
Martin Landau,581
Leonardo DiCaprio,582
Mike Vitar,583
Emma Thompson,584
Lesley Sharp,585
Chazz Palminteri,586
Frank Paur,587
Gena Rowlands,588
Wladyslaw Kowalski,589
Laurence Fishburne,590
Kathy Bates,591
Robin Williams,592
Minami Takayama,593
Denzel Washington,594
Danny Lee,595
Willem Dafoe,596
Carl Weathers,597
Sarah Berry,598
Alan Ruck,599
John Lurie,600
Josh Brolin,601
Whoopi Goldberg,602
Judd Nelson,603
Haing S. Ngor,604
Scott Glenn,605
Jerry Lewis,606
Drew Barrymore,607
Brooke Adams,608
Sondra Locke,609
Jennifer Drake,610
Terence Alexander,611
Michael York,612
Jack Albertson,613
Jon Voight,614
Alan Arkin,615
Sidney Poitier,616
Rex Harrison,617
Dick Van Dyke,618
Gerd Oswald,619
Oskar Werner,620
Peter Wyngarde,621
Jean Seberg,622
Edward G. Robinson,623
Claire Trevor,624
Michael Redgrave,625
Cary Grant,626
Elsa Lanchester,627
Harpo Marx,628
Paul Muni,629
Mae Clarke,630
Marina de Tavira,631
Alec Secareanu,632
Allison Williams,633
Henry Cavill,634
Bahar Pars,635
Jemaine Clement,636
Sara Takatsuki,637
Felicity Jones,638
Taron Egerton,639
Ansel Elgort,640
RJ Cyler,641
Zach Galifianakis,642
Adèle Exarchopoulos,643
Sushant Singh Rajput,644
Johan Heldenbergh,645
Nargis Fakhri,646
Will Forte,647
Jack McBrayer,648
Mackenzie Foy,649
Christina Hendricks,650
Chris Pratt,651
George Clooney,652
Emmanuel Affadzi,653
Andrew Garfield,654
Michael Fassbender,655
Bradley Cooper,656
Javier Bardem,657
Jennifer Lawrence,658
Bryan Cranston,659
Michael Sheen,660
Colm Feore,661
Callan McAuliffe,662
Takuya Ishida,663
Ken'ichi Matsuyama,664
Stephen Graham,665
Domhnall Gleeson,666
Sidse Babett Knudsen,667
Forest Whitaker,668
Ben Kingsley,669
Benno Fürmann,670
Samantha Morton,671
Mandy Moore,672
Sebastian Koch,673
Sandra Bullock,674
Wah Yuen,675
Franka Potente,676
Jennifer Jason Leigh,677
Regina King,678
Teri Hatcher,679
Ken Watanabe,680
Dorothy Duffy,681
Katrin Saß,682
Ewan McGregor,683
Tyler Hoechlin,684
Christian Berkel,685
Julie Walters,686
Miriam Shor,687
John Rafter Lee,688
Matt Stone,689
Jennifer Aniston,690
Jon Lovitz,691
Ethan Hawke,692
Bill Murray,693
Penélope Cruz,694
Cameron Diaz,695
Milla Jovovich,696
Jacques Villeret,697
Johnny Depp,698
Armin Mueller-Stahl,699
Laura Linney,700
Eleanor Bron,701
Michelle Reis,702
Massimo Troisi,703
Jeff Anderson,704
Kermit the Frog,705
Angela Bassett,706
Tokiko Katô,707
Jack Lemmon,708
Jack Nicholson,709
Jessica Tandy,710
John Turturro,711
Gene Bervoets,712
Paul McGann,713
Joan Chen,714
John Malkovich,715
Christian Slater,716
Kyle MacLachlan,717
Jeff Daniels,718
Rosanna Arquette,719
Mia Farrow,720
Charlotte Rampling,721
Leonard Nimoy,722
Brian Dennehy,723
Mary Tyler Moore,724
Jerry Zucker,725
Eiko Masuyama,726
Jamie Lee Curtis,727
Isabelle Adjani,728
Gene Wilder,729
John Randolph,730
John Saxon,731
Burt Reynolds,732
Roy Scheider,733
Andrew Robinson,734
Walter Matthau,735
Jean Sorel,736
Wendy Hiller,737
Ian Hendry,738
Gert Fröbe,739
Tippi Hedren,740
Robert Mitchum,741
Anna Massey,742
Steve McQueen,743
Alida Valli,744
Dana Wynter,745
Natalie Wood,746
Peter Sellers,747
Patricia Neal,748
Glenn Ford,749
Ford Beebe Jr.,750
Gloria Stuart,751
Debra Messing,752
Aleksey Rozin,753
Bria Vinaite,754
Mckenna Grace,755
Zack Gottsagen,756
Frederick Lau,757
Doga Zeynep Doguslu,758
Jon Bernthal,759
Miles Teller,760
Mark Rylance,761
Holly Hunter,762
Don Hall,763
Sylvester Stallone,764
Elena Lyadova,765
Ben Foster,766
Steve Coogan,767
Keri Russell,768
Hugo Silva,769
Ananda George,770
Michael Peña,771
Mirai Shida,772
Trine Dyrholm,773
Seth Rogen,774
Nicolas Cage,775
Alberto Ammann,776
Elena Anaya,777
Jude Law,778
Haaz Sleiman,779
Rosario Dawson,780
Claire Danes,781
Evan McGuire,782
Sylvie Testud,783
Li Sun,784
Jessica Biel,785
Gary Stretch,786
Lena Headey,787
Jonathan Rhys Meyers,788
Patrick Wilson,789
Leigh Whannell,790
Marion Cotillard,791
Gaspard Ulliel,792
Patricia Clarkson,793
Benicio Del Toro,794
Shin Ha-kyun,795
Barry Pepper,796
Ashton Kutcher,797
Naomie Harris,798
Aki Maeda,799
Rupert Grint,800
Christopher Eccleston,801
Colin Farrell,802
Vicellous Shannon,803
Justin Theroux,804
Moritz Bleibtreu,805
Ming-Na Wen,806
Ulrich Mühe,807
Kiefer Sutherland,808
Kevin Bacon,809
Jeremy Irons,810
Gary Farmer,811
Bill Paxton,812
Robert Duvall,813
Wiley Wiggins,814
Toshirô Yanagiba,815
Marie-Laure Dougnac,816
Joe Pesci,817
Meg Ryan,818
Jodi Benson,819
Priscilla Presley,820
John Candy,821
Danny Glover,822
John Getz,823
Henry Fonda,824
Bruce Spence,825
James Remar,826
Frank Oz,827
Patrick McGoohan,828
Irene Miracle,829
François Truffaut,830
Nina van Pallandt,831
James Coburn,832
Telly Savalas,833
Sebastian Cabot,834
Vanessa Redgrave,835
Paul McCartney,836
George Peppard,837
Rock Hudson,838
Montgomery Clift,839
John Hodiak,840
Madeleine Carroll,841
